acc_x,acc_y,acc_z,alt,label
0.004761,-0.008057,0.978882,332.119446,none
0.004761,-0.008301,0.978394,332.06131,none
0.005615,-0.009033,0.978149,332.06131,none
0.005005,-0.007568,0.978394,332.119446,none
0.005737,-0.008423,0.977417,332.119446,none
0.005249,-0.008179,0.978027,332.177582,none
0.005371,-0.007935,0.979614,332.177582,none
0.005737,-0.007935,0.979004,332.249237,none
0.004639,-0.008057,0.977783,332.249237,none
0.006592,-0.008179,0.978271,332.170319,none
0.005127,-0.007935,0.978638,332.227448,none
0.005005,-0.008667,0.977783,332.227448,none
0.004883,-0.008667,0.977905,332.090363,none
0.005859,-0.008057,0.978638,332.090363,none
0.006714,-0.008301,0.978027,331.989655,none
0.005249,-0.008179,0.979614,331.989655,none
0.004883,-0.007935,0.979004,332.038971,none
0.005981,-0.008057,0.979004,332.038971,none
0.004883,-0.009155,0.977539,332.059235,none
0.004761,-0.008179,0.978271,331.663635,none
0.005493,-0.008789,0.978516,331.663635,none
0.005249,-0.008545,0.978882,332.047272,none
0.004272,-0.008545,0.976562,332.047272,none
0.004639,-0.008423,0.977661,332.168243,none
0.004883,-0.009033,0.977661,332.168243,none
0.005371,-0.007812,0.977295,332.187469,none
0.004272,-0.008179,0.977783,332.187469,none
0.004761,-0.008789,0.978271,332.016144,none
0.005005,-0.008667,0.978027,331.828186,none
0.005981,-0.007446,0.977539,331.828186,none
0.005127,-0.007568,0.978394,332.331787,none
0.003906,-0.007935,0.977173,332.331787,none
0.005493,-0.007324,0.978394,331.797577,none
0.006226,-0.007812,0.978394,331.797577,none
0.005981,-0.008545,0.978638,332.000031,none
0.004028,-0.006836,0.976807,332.000031,none
0.005493,-0.008545,0.979492,332.050903,none
0.005615,-0.008789,0.977783,332.014069,none
0.005615,-0.007812,0.978271,332.014069,none
0.005859,-0.007935,0.979004,331.90451,none
0.005493,-0.007812,0.978394,331.90451,none
0.00415,-0.00769,0.978027,332.027039,none
0.006104,-0.008423,0.97876,332.027039,none
0.005493,-0.008911,0.978149,332.136047,none
